time,event,delta,inventory,at_capacity,at_empty
2025-09-01 00:05:23.271,departure,-1,10,False,False
2025-09-01 06:06:44.550,arrival,1,11,False,False
2025-09-01 07:53:56.436,departure,-1,10,False,False
2025-09-01 08:03:39.220,arrival,1,11,False,False
2025-09-01 08:13:06.096,departure,-1,10,False,False
2025-09-01 08:43:37.229,arrival,1,11,False,False
2025-09-01 09:09:40.681,departure,-1,10,False,False
2025-09-01 09:53:03.543,arrival,1,11,False,False
2025-09-01 10:06:39.823,departure,-1,10,False,False
2025-09-01 10:23:39.972,arrival,1,11,False,False
2025-09-01 10:25:52.472,departure,-1,10,False,False
2025-09-01 10:26:32.373,departure,-1,9,False,False
2025-09-01 10:33:35.973,arrival,1,10,False,False
2025-09-01 11:02:37.151,arrival,1,11,False,False
2025-09-01 11:07:58.835,arrival,1,12,False,False
2025-09-01 11:10:14.674,departure,-1,11,False,False
2025-09-01 11:18:07.368,arrival,1,12,False,False
2025-09-01 11:20:06.409,arrival,1,13,False,False
2025-09-01 11:21:34.863,arrival,1,14,False,False
2025-09-01 11:27:04.059,arrival,1,15,False,False
2025-09-01 11:28:30.785,arrival,1,16,False,False
2025-09-01 11:32:02.726,departure,-1,15,False,False
2025-09-01 11:38:24.108,departure,-1,14,False,False
2025-09-01 11:40:05.723,arrival,1,15,False,False
2025-09-01 11:47:49.350,arrival,1,16,False,False
2025-09-01 12:05:44.029,departure,-1,15,False,False
2025-09-01 12:12:29.160,arrival,1,16,False,False
2025-09-01 12:24:47.678,departure,-1,15,False,False
2025-09-01 12:25:56.997,departure,-1,14,False,False
2025-09-01 12:48:54.527,arrival,1,15,False,False
2025-09-01 12:50:10.098,arrival,1,16,False,False
2025-09-01 12:50:19.559,arrival,1,17,False,False
2025-09-01 13:00:54.849,arrival,1,18,False,False
2025-09-01 13:01:36.341,departure,-1,17,False,False
2025-09-01 13:02:28.826,arrival,1,18,False,False
2025-09-01 13:06:58.583,arrival,1,19,False,False
2025-09-01 13:12:48.560,departure,-1,18,False,False
2025-09-01 13:15:16.332,arrival,1,19,False,False
2025-09-01 13:19:42.772,departure,-1,18,False,False
2025-09-01 13:28:08.677,arrival,1,19,False,False
2025-09-01 13:31:17.543,departure,-1,18,False,False
2025-09-01 13:32:47.457,departure,-1,17,False,False
2025-09-01 13:44:50.039,arrival,1,18,False,False
2025-09-01 13:50:23.956,arrival,1,19,False,False
