time,event,delta,cumulative,at_capacity
2025-08-31 23:57:34.928,departure,-1,1248,True
2025-09-01 00:10:29.256,arrival,1,1249,True
2025-09-01 00:10:58.143,arrival,1,1250,True
2025-09-01 00:17:24.642,departure,-1,1249,True
2025-09-01 00:18:26.302,departure,-1,1248,True
2025-09-01 00:18:58.942,arrival,1,1249,True
2025-09-01 00:37:07.042,departure,-1,1248,True
2025-09-01 00:59:15.873,departure,-1,1247,True
2025-09-01 05:57:51.336,departure,-1,1246,True
2025-09-01 07:18:38.795,departure,-1,1245,True
2025-09-01 07:37:40.167,departure,-1,1244,True
2025-09-01 07:45:34.243,arrival,1,1245,True
2025-09-01 07:54:02.708,departure,-1,1244,True
2025-09-01 07:56:15.950,departure,-1,1243,True
2025-09-01 07:57:14.833,departure,-1,1242,True
2025-09-01 08:14:04.503,arrival,1,1243,True
2025-09-01 08:15:24.011,arrival,1,1244,True
2025-09-01 08:24:58.408,arrival,1,1245,True
2025-09-01 08:36:19.277,departure,-1,1244,True
2025-09-01 08:38:50.593,departure,-1,1243,True
2025-09-01 08:39:51.321,departure,-1,1242,True
2025-09-01 08:40:34.366,arrival,1,1243,True
2025-09-01 08:41:49.568,departure,-1,1242,True
2025-09-01 08:46:47.222,departure,-1,1241,True
2025-09-01 08:48:54.800,departure,-1,1240,True
2025-09-01 08:52:26.064,departure,-1,1239,True
2025-09-01 08:54:59.914,departure,-1,1238,True
2025-09-01 08:57:53.593,departure,-1,1237,True
2025-09-01 09:07:00.714,departure,-1,1236,True
2025-09-01 09:11:11.313,departure,-1,1235,True
2025-09-01 09:13:08.812,departure,-1,1234,True
2025-09-01 09:17:38.365,arrival,1,1235,True
2025-09-01 09:19:41.038,departure,-1,1234,True
2025-09-01 09:23:33.807,departure,-1,1233,True
2025-09-01 09:23:49.968,departure,-1,1232,True
2025-09-01 09:24:54.919,departure,-1,1231,True
2025-09-01 09:25:13.283,departure,-1,1230,True
2025-09-01 09:25:59.496,arrival,1,1231,True
2025-09-01 09:30:08.734,departure,-1,1230,True
2025-09-01 09:30:15.969,departure,-1,1229,True
2025-09-01 09:32:17.530,departure,-1,1228,True
2025-09-01 09:38:00.316,departure,-1,1227,True
2025-09-01 09:39:27.311,departure,-1,1226,True
2025-09-01 09:40:13.634,arrival,1,1227,True
2025-09-01 09:42:25.007,departure,-1,1226,True
